Fornavne til kvinder, 1. januar 2025
(kun navne med tre eller flere forekomster)

Navn	ANTAL
CHRISTEL	1188
IRIS	1182
VANESSA	1175
VIKTORIA	1173
CHRISTA	1171
REGITZE	1171
MELINA	1167
NELLIE	1165
JEANNETTE	1160
PETRA	1139
NATALIIA	1138
RIGMOR	1138
JOANNA	1134
JUDITH	1126
LARA	1110
SOLVEJ	1109
MIRIAM	1098
MAI-BRITT	1097
BENEDICTE	1071
MARYAM	1062
WILMA	1061
MILA	1060
MYNTE	1049
JEANETT	1017
MY	1015
VILDE	1015
ZAHRA	1012
KAMILLE	1007
HERDIS	1002
LONNIE	996
ERIKA	987
SELINA	987
LISSY	977
LINEA	969
BELINDA	966
MAREN	966
AISHA	961
ELNA	954
MARIAN	954
LILI	949
ALEKSANDRA	941
EDEL	941
AGNETHE	940
LUCCA	938
KATARZYNA	937
MAGDALENA	925
MINA	920
VIBE	917
KATHARINA	913
AYSE	911
JULIANE	911
LUCIA	907
KAROLINA	893
SUSSIE	891
BJØRK	885
SISSEL	884
LINNEA	878
LEAH	874
YRSA	872
SOLVEJG	869
JUNE	868
LEILA	862
OLHA	861
VICKI	856
KIA	854
OKSANA	854
LINETTE	853
ANASTASIIA	845
SIRI	845
DANIELA	836
ELSA	834
YULIIA	832
AVA	831
DANIELLA	831
AMELIA	826
THERESA	823
LISETTE	822
ODA	822
SVITLANA	819
SANDIE	811
PAULA	805
AGNIESZKA	801
BOLETTE	800
BELLA	797
MYNTHE	797
EMMELIE	795
TINNA	794
LILJE	792
ANNALISE	788
GABRIELLA	782
NANCY	780
ISABELL	778
MICHELLA	778
CORNELIA	776
FIONA	776
MICHALA	774
BENTHE	768
KATERYNA	766
ANNE-GRETHE	761
VIKTORIIA	761
KATARINA	753
STEFANIE	752
VILJA	751
MILLA	749
CILLE	746
MAIA	746
AMIRA	740
ZAINAB	734
GERTRUD	732
MERETHE	728
BRITA	727
CRISTINA	726
NETE	722
MARIIA	721
AMAL	719
ANASTASIA	713
DAGNY	711
MARTINA	711
ELINE	707
CAROLINA	706
ZENIA	702
IMAN	700
TANIA	698
NAOMI	695
XENIA	689
KRISTA	687
SUZANNE	685
DORIT	682
VALENTINA	682
MONIQUE	681
MELIA	677
MARTINE	670
VERONIKA	670
TERESA	667
JACQUELINE	666
VERONICA	664
STINNE	657
SAMIRA	656
ANGELINA	655
LYDIA	655
ZOE	655
EMMY	653
ELSE-MARIE	646
RAGNHILD	646
VINNI	645
ZEYNEP	645
IRINA	644
ANN-SOFIE	643
KIT	640
NIKITA	640
MALGORZATA	639
CARMEN	638
KATHE	636
MARIANE	633
MELISA	632
ELVA	631
AIDA	630
EVY	625
ELIF	624
DIDDE	623
MAGGIE	621
LUISE	620
LONNI	618
PAULINA	618
JEANET	616
LIZZIE	616
EMINE	614
SIDSE	613
BIBI	609
DENISE	609
ENA	609
EWA	609
DARIA	600
GABRIELA	600
HATICE	599
LIZZI	591
NEEL	585
ANIKA	584
MICHAELA	583
SALMA	581
LIUDMYLA	580
SILVIA	580
CATHARINA	579
ÅSE	579
BIRGITH	578
PAULINE	578
AURA	577
CATRINE	576
SUSIE	575
TANYA	573
TATIANA	573
ELINOR	569
NORMA	567
ALICIA	565
ANGELA	559
MIKKELINE	552
VINNIE	551
MARIANA	550
GRO	547
MADELEINE	546
GHITA	541
OLINE	541
AMY	537
DORA	535
PIL	533
MARYNA	530
URSULA	530
LENETTE	527
INNA	524
JOY	524
LIZETTE	524
JASMINA	520
LOUISA	520
BRIT	518
EVELYN	518
ADA	517
MALAK	513
LIA	510
SHEILA	508
VICKY	508
UMA	506
JESSIE	504
GAIA	503
NATACHA	500
IDA-MARIE	499
MALIKA	499
ELLIS	494
MALIA	493
JANA	492
MAGDA	491
TEA	491
JILL	488
BONNIE	487
CHRISTIANE	487
NELLY	487
DEA	486
JUTTA	484
MARION	483
SASHA	483
HANA	482
THORA	482
CLAIRE	476
MOLLIE	476
TAMARA	474
HEDVIG	473
INGERLISE	473
MAY	471
REGINA	470
AZRA	468
NOUR	466
CASSANDRA	465
ISABELLE	462
SOFIIA	462
CÆCILIE	460
MICHELE	457
IZABELLA	456
LAJLA	456
MERYEM	455
KIMMIE	454
SIFF	454
RAGNA	453
NADINE	449
GERD	447
SIV	447
BEATE	446
BEATA	445
KHADIJA	445
ALIA	444
MEDINA	443
ADRIANA	442
BJØRG	441
HILDA	441
GRETA	439
VALENTYNA	438
HANAN	437
PHILIPPA	436
ATHENA	434
