Efternavne, 1. januar 2025
(kun navne med tre eller flere forekomster)

Navn	ANTAL
LEHMANN	1234
TROELSEN	1231
BROGAARD	1230
HAUGE	1216
GAMMELGAARD	1208
WEBER	1203
TRUELSEN	1201
JANSEN	1196
LUNDSGAARD	1190
JOENSEN	1189
CHEN	1187
WIND	1183
BAGGER	1180
KILIC	1180
MARTINSEN	1179
ADAMSEN	1176
KRARUP	1166
NØRSKOV	1164
PHAM	1164
VANG	1146
BALLE	1141
ODGAARD	1139
ASTRUP	1131
JÆGER	1131
LINDEGAARD	1127
THERKELSEN	1127
ROSENKILDE	1126
VOSS	1124
CELIK	1123
WÜRTZ	1122
LINDHOLM	1121
LUNDBERG	1121
OMAR	1120
ROSENDAHL	1119
SCHNEIDER	1119
KROGSGAARD	1114
KRAMER	1112
DREJER	1108
BERGMANN	1106
DUPONT	1106
SEVERINSEN	1106
FOGH	1104
QVIST	1104
SCHWARTZ	1103
CASPERSEN	1102
LI	1098
WOLFF	1097
LUNDGAARD	1096
SANDBERG	1095
BØDKER	1089
EJ EFTERNAVN	1083
BRO	1081
STRØM	1081
KELLER	1079
WILLUMSEN	1077
BØGH	1075
GROTH	1074
ELLEGAARD	1060
BOISEN	1053
RYTTER	1053
KAYA	1052
KAAS	1047
BUUS	1045
SANDER	1039
KRAGELUND	1037
ROSENDAL	1035
BAGER	1031
TOLSTRUP	1024
MARTINUSSEN	1022
HAAGENSEN	1021
YILDIRIM	1021
BENGTSSON	1020
VAD	1017
HUSTED	1016
ZHANG	1012
MUSTAFA	1010
KJELDGAARD	1008
BLOM	1007
CARLSSON	1005
KHALIL	1005
MEIER	1005
SKØTT	1005
SMEDEGAARD	1003
HOLT	1002
BJERRUM	1000
JUST	996
GUNDERSEN	995
KIRKEBY	992
VALENTIN	989
HEIN	986
ISMAIL	973
YDE	973
NYBORG	966
ABDI	962
KRAG	961
LINDHARDT	958
JONASSEN	957
JOSEFSEN	956
ROED	956
NØHR	951
KOCK	950
SMED	944
SAHIN	941
WESTH	939
JÜRGENSEN	937
BILLE	935
HANSSON	935
ROSE	934
HASAN	933
HERMANN	933
TERKELSEN	933
VEDEL	929
LINDE	927
BAGGE	924
MARK	924
STAGE	921
BÜLOW	918
KRABBE	918
TANG	916
SALLING	913
KOEFOED	910
BIDSTRUP	909
HOLMBERG	906
GULDAGER	904
JUNKER	903
SKJØDT	903
DAMKJÆR	902
LYNGGAARD	901
KLOSTER	898
HERTZ	890
NICOLAJSEN	889
VIND	889
TERP	883
STOUGAARD	878
WARMING	877
NORUP	876
TØNNESEN	872
KROMANN	869
EGHOLM	868
IQBAL	867
RAUN	867
ELGAARD	866
HAAHR	866
FOGED	865
KRÜGER	862
MÅNSSON	861
DISSING	860
BOYE	859
LERCHE	859
STAAL	855
DIDERIKSEN	851
FALKENBERG	848
LORENTSEN	846
BORCH	840
LANG	839
BÆKGAARD	838
DELEURAN	829
FROM	825
MATHIASSEN	825
LIU	824
BUSCH	822
MOURITZEN	822
KLEIN	821
ERNST	820
MATZEN	820
RØNNE	817
LYHNE	816
SAMUELSEN	816
SALOMONSEN	815
VANGSGAARD	815
ELIASEN	812
DYHR	810
STAMPE	809
GEERTSEN	808
HAVE	807
LINDSTRØM	804
NEUMANN	804
SALEH	804
HONORÉ	801
DREYER	800
MUNKHOLM	800
SØNDERBY	800
KASPERSEN	799
LINDGAARD	797
SLOT	797
SHAH	796
HARDER	795
HOVE	795
STEENBERG	794
STEPHANSEN	794
KOLD	792
PAGH	792
SCHACK	792
KASTRUP	788
SEJERSEN	788
DOGAN	785
RISAGER	784
LYKKEGAARD	783
ENEMARK	782
ENGEL	781
STRAND	777
REFSGAARD	776
SCHULZ	776
GOTFREDSEN	775
ROSSEN	773
BJERRING	772
ØRUM	772
WORM	771
BRØGGER	770
KJÆRULFF	769
CRAMER	766
LADEGAARD	762
FUNCH	761
BORK	757
PLOUG	756
ANDERSON	751
DEMIR	751
YILDIZ	751
BEYER	748
KORSHOLM	748
VENDELBO	748
MOESGAARD	746
MAHMOUD	743
STEENSEN	742
BITSCH	741
FLINDT	741
GOTTLIEB	741
LYNGSØ	741
NOER	739
BOSSEN	736
EHLERS	736
KANSTRUP	736
KURE	736
PETERSSON	736
MOSE	734
STÆHR	734
SIVERTSEN	733
AAEN	728
HEDE	728
POLAT	727
LAUSEN	726
LINNET	726
HINRICHSEN	724
HØEGH	724
MELGAARD	721
HJORTSHØJ	720
LILLELUND	720
GRØNBÆK	719
MALLING	717
BROBERG	716
HORN	716
GRØNNING	713
VINDING	711
AARUP	708
ALSTRUP	708
HENDRIKSEN	708
JUEL	707
SØBY	705
ESKESEN	704
GRØNLUND	702
HØJER	701
MOHAMMED	701
POST	701
DAHLGAARD	699
DØSSING	698
FEDDERSEN	698
PAASKE	696
DUEHOLM	693
FARAH	693
TRANBERG	693
HARBOE	692
FENGER	690
BLAABJERG	689
WEST	689
EGEBERG	688
NØRBY	688
RIBER	688
AGERSKOV	685
FOG	685
WOLF	685
ZACHO	685
KAAE	684
SHARMA	684
SHRESTHA	683
HØEG	682
JOCHUMSEN	682
KLEMMENSEN	682
MALIK	681
CONRADSEN	679
FABER	678
HØY	676
KJØLLER	676
LOHMANN	675
SØE	673
