Fornavne til mænd, 1. januar 2025
(kun navne med tre eller flere forekomster)

Navn	ANTAL
HARDY	785
BILLE	781
BILAL	780
KHALED	778
YASIN	776
AHMET	774
NOR	773
ERIC	765
JOHNNI	761
JUAN	761
ATLAS	757
ISAAC	757
VALENTIN	754
ANDREW	753
POUL-ERIK	752
JOSHUA	748
RYAN	746
VOLODYMYR	746
GUNNER	744
OLAV	743
VALDE	743
YOUSEF	743
LUIS	742
KENNI	740
JASON	738
ANDRII	736
ESKE	733
SERHII	730
OSMAN	724
POVL	722
BENDT	719
MARCEL	717
WILHELM	715
XANDER	715
KRESTEN	711
CHARLES	710
ADNAN	709
JOSEPH	709
AMIN	702
JOSEF	698
ELMER	697
HANS-HENRIK	697
KAARE	695
ULF	695
NIS	688
STEPHEN	688
MAKSYM	685
MASON	685
HALFDAN	683
JEAN	681
MATEO	675
VESTER	668
LOKE	663
MATEUSZ	657
MATTEO	656
SAMIR	656
ANDREI	655
MARVIN	654
ARTUR	652
DENIZ	646
HUBERT	642
DAMIAN	641
ALF	632
MIKAIL	632
MICK	629
CARLOS	619
MATTHEW	619
MAREK	617
MICHEL	615
DITLEV	614
GRZEGORZ	613
ANDY	599
EMIR	596
TORE	589
EJGIL	585
NOA	585
GEORGE	583
RONNY	583
KAMIL	581
SAM	577
OSVALD	576
ALEXANDRU	572
BALDER	572
CONSTANTIN	567
GREGERS	566
YOUSSEF	566
ELLIOTT	560
MATTIAS	556
LEANDER	555
SAID	553
LUI	551
EIK	550
MAXIMILIAN	548
KARLO	547
RAFAL	546
TINO	546
ARTEM	544
LEONARDO	543
YUNUS	537
MUSA	534
HANNIBAL	532
ANDRZEJ	529
ANTONIO	528
MARIO	528
MURAT	527
MICKEY	520
JOSE	519
CHRISTEN	518
RALF	518
HASSE	517
HEINRICH	514
OLAF	513
MARIUSZ	509
ASMUS	508
MELVIN	507
IGOR	505
NICKY	504
ILYAS	502
EVALD	500
OLUF	497
YOUNES	497
PIERRE	496
WILLUM	496
ENES	493
MACIEJ	493
CARL-EMIL	492
KRISTEN	492
DAWID	490
KHALID	490
TOR	484
ROLAND	483
ANDRE	479
MIGUEL	479
ZAKARIA	475
JEFF	474
RUDI	474
HEINO	473
JAMAL	473
ANTHONY	468
ADEM	467
FABIAN	467
VLADYSLAV	467
KLAVS	466
ERLAND	463
HUXI	463
CASPAR	462
KRIS	460
VITALII	460
KARIM	456
KASPAR	456
PATRIK	452
MANFRED	450
RICO	449
WILFRED	449
JUSTIN	447
JASPER	446
LEVI	444
HERLUF	442
MIKAS	442
FREDRIK	440
EDWARD	439
MYKOLA	439
NIKOLAS	439
CRISTIAN	438
INGOLF	438
SYED	438
IVAR	437
MARKO	437
WALID	437
DOMINIK	436
FRITZ	436
BORIS	435
JARL	435
ZANDER	435
ÖMER	434
ARON	433
FALKE	430
FRANS	429
SOPHUS	429
ESKIL	428
HAMID	428
DARIUSZ	427
BERTEL	426
JOEL	422
SEJR	420
DION	418
ELO	417
RONALD	413
KENAN	411
WOJCIECH	411
MARLEY	410
NICO	410
PATRYK	409
RICKY	407
MAHDI	406
EINAR	405
EMRE	403
MIHAI	403
MICAS	400
WERNER	400
NOAM	398
BOGDAN	397
WALDEMAR	393
RAMAZAN	392
ZACHARIAS	392
EVAN	390
MALEK	390
SVEND-ERIK	387
ALEKSANDAR	386
PEDRO	386
MARIAN	384
JONNY	381
WILLADS	381
ROMEO	379
THORSTEN	378
ANTHON	377
SEYED	377
ABBAS	376
HANS-JØRGEN	376
IONUT	376
OLEKSII	376
EMMANUEL	374
MARINUS	374
RAFAEL	373
PABLO	372
ISA	371
KHALIL	371
IHOR	368
MYKHAILO	368
ELI	367
FLORIN	367
JACEK	366
MANUEL	364
HEKTOR	363
MIRAN	363
YURII	363
CALVIN	362
DEAN	362
TEIS	361
KACPER	360
DIEGO	356
ELTON	356
FRANCISCO	356
OLEH	353
NORD	352
HAKAN	350
ZAKARIAS	350
NOEL	345
FRANCESCO	343
FREDDIE	343
DENYS	340
HADI	340
EMIN	338
ABDI	335
HÜSEYIN	334
MADS-EMIL	334
RAMI	334
EDVARD	333
MORGAN	333
TJALFE	332
AARON	329
MICKI	329
VILLIAM	329
EMANUEL	328
JAROSLAW	328
VASILE	327
PRZEMYSLAW	326
BROR	325
FOLKE	325
UWE	325
HALIL	324
THORKIL	324
FRANZ	323
IVER	323
KARL-EMIL	323
REZA	322
THUE	322
BOHDAN	321
DANNIE	318
ION	318
JACKIE	318
VLADIMIR	318
AYMAN	317
MEHDI	317
SZYMON	317
HERBERT	316
ASTON	315
RICKI	313
ABDIRAHMAN	312
FLORIAN	311
KELL	311
NATHAN	310
ANDREA	309
HANS-CHRISTIAN	309
IMRAN	308
BARTOSZ	307
MIK	307
SCOTT	307
LUKE	305
ARNOLD	304
BILL	304
GERHARD	303
MATTIS	303
SEJER	303
ARKADIUSZ	302
ARVID	302
JOHANN	298
ROAR	297
SEVERIN	297
EMILIO	296
FATIH	296
ALESSANDRO	295
KAMAL	295
VILLAS	295
HENRI	294
NICHOLAI	294
NIELS-ERIK	294
HARIS	293
SLAWOMIR	293
GHEORGHE	290
YAHYA	290
ALBERTO	289
HELMER	289
HJALMAR	289
JOE	289
ADEL	288
YAROSLAV	288
BERNT	287
ELVIN	287
TIMOTHY	287
